employee_id,age_raw,gender,sector,stress_level,stress_source,destress_method,sleep_hours,age_group,risk_category
79,50,Hombre,Construcción,5,Salud,Deporte,7.260363473161219,Gen X (40-49),Riesgo Moderado
80,36,Hombre,Salud,7,Salud,Videojuegos,5.024296849996324,Millennials (30-39),Riesgo Moderado
81,22,Hombre,Educación,10,Carga Laboral,Videojuegos,5.009128925326039,Gen Z (20-29),Alto Riesgo
82,46,Mujer,Tecnología,4,Familia,Deporte,8.587722745561592,Gen X (40-49),Bajo Riesgo
83,28,Hombre,Construcción,6,Familia,Naturaleza,7.13693610527831,Gen Z (20-29),Riesgo Moderado
84,30,Hombre,Retail,6,Finanzas,Naturaleza,4.887641874901691,Gen Z (20-29),Riesgo Moderado
85,45,Hombre,Finanzas,7,Salud,Naturaleza,3.533154034722112,Gen X (40-49),Riesgo Moderado
86,22,Mujer,Educación,6,Carga Laboral,Videojuegos,4.38870707580249,Gen Z (20-29),Riesgo Moderado
87,29,Mujer,Retail,4,Salud,Naturaleza,4.915234562191845,Gen Z (20-29),Bajo Riesgo
88,45,Hombre,Retail,4,Salud,Socializar,4.595217333220466,Gen X (40-49),Bajo Riesgo
89,32,Mujer,Educación,5,Finanzas,Socializar,6.449466533081207,Millennials (30-39),Riesgo Moderado
90,38,Mujer,Finanzas,4,Carga Laboral,Naturaleza,7.507267026084994,Millennials (30-39),Bajo Riesgo
91,29,Mujer,Construcción,4,Carga Laboral,Socializar,6.364780566668311,Gen Z (20-29),Bajo Riesgo
92,56,Hombre,Finanzas,4,Familia,Deporte,5.817418051999378,Boomers (50+),Bajo Riesgo
93,56,Mujer,Salud,5,Salud,Naturaleza,7.01517404895072,Boomers (50+),Riesgo Moderado
94,54,Mujer,Tecnología,3,Carga Laboral,Naturaleza,5.992381483390194,Boomers (50+),Bajo Riesgo
95,26,Mujer,Tecnología,10,Familia,Naturaleza,3.9291566784463385,Gen Z (20-29),Alto Riesgo
96,63,Hombre,Retail,5,Carga Laboral,Deporte,6.804122208745874,Boomers (50+),Riesgo Moderado
97,60,Mujer,Construcción,5,Salud,Deporte,7.088810013199844,Boomers (50+),Riesgo Moderado
98,62,Mujer,Finanzas,6,Familia,Naturaleza,8.305254417075519,Boomers (50+),Riesgo Moderado
99,49,Mujer,Retail,8,Carga Laboral,Videojuegos,7.882108881508429,Gen X (40-49),Alto Riesgo
100,28,Hombre,Educación,6,Finanzas,Videojuegos,5.660441582761538,Gen Z (20-29),Riesgo Moderado
101,30,Hombre,Retail,7,Carga Laboral,Socializar,6.174531413652172,Gen Z (20-29),Riesgo Moderado
102,29,Mujer,Educación,5,Salud,Deporte,6.552839764835892,Gen Z (20-29),Riesgo Moderado
103,33,Mujer,Educación,4,Finanzas,Socializar,6.820400672738945,Millennials (30-39),Bajo Riesgo
104,55,Hombre,Salud,7,Carga Laboral,Socializar,8.741476412988913,Boomers (50+),Riesgo Moderado
105,54,Mujer,Salud,7,Carga Laboral,Naturaleza,6.400638558166476,Boomers (50+),Riesgo Moderado
106,44,Hombre,Educación,6,Familia,Videojuegos,5.719268083390976,Gen X (40-49),Riesgo Moderado
107,45,Mujer,Construcción,5,Salud,Socializar,8.362842969833624,Gen X (40-49),Riesgo Moderado
108,58,Mujer,Salud,5,Carga Laboral,Naturaleza,8.326365922821404,Boomers (50+),Riesgo Moderado
109,56,Mujer,Salud,5,Carga Laboral,Deporte,7.850004289468575,Boomers (50+),Riesgo Moderado
110,61,Mujer,Tecnología,7,Carga Laboral,Socializar,4.094826086159205,Boomers (50+),Riesgo Moderado
111,43,Hombre,Retail,4,Salud,Videojuegos,6.621181373102876,Gen X (40-49),Bajo Riesgo
112,48,Mujer,Tecnología,5,Finanzas,Deporte,6.148743457404763,Gen X (40-49),Riesgo Moderado
113,56,Hombre,Construcción,4,Salud,Naturaleza,7.154745267418056,Boomers (50+),Bajo Riesgo
114,22,Mujer,Salud,7,Familia,Deporte,5.1936136679035325,Gen Z (20-29),Riesgo Moderado
115,56,Mujer,Salud,4,Familia,Socializar,7.729957384880564,Boomers (50+),Bajo Riesgo
116,58,Mujer,Finanzas,5,Salud,Deporte,7.036453404688662,Boomers (50+),Riesgo Moderado
117,35,Hombre,Construcción,4,Carga Laboral,Deporte,7.812933890932011,Millennials (30-39),Bajo Riesgo
118,24,Mujer,Retail,3,Carga Laboral,Deporte,5.378074759964385,Gen Z (20-29),Bajo Riesgo
119,22,Hombre,Retail,7,Finanzas,Videojuegos,6.89761579235265,Gen Z (20-29),Riesgo Moderado
120,26,Hombre,Retail,7,Salud,Socializar,7.682797086587227,Gen Z (20-29),Riesgo Moderado
121,47,Mujer,Construcción,5,Salud,Naturaleza,2.6759271798412243,Gen X (40-49),Riesgo Moderado
122,35,Hombre,Finanzas,3,Carga Laboral,Videojuegos,7.500306084556293,Millennials (30-39),Bajo Riesgo
123,60,Mujer,Finanzas,3,Familia,Socializar,5.959211329309724,Boomers (50+),Bajo Riesgo
124,48,Hombre,Tecnología,8,Familia,Naturaleza,6.464506181116684,Gen X (40-49),Alto Riesgo
125,30,Hombre,Construcción,1,Finanzas,Naturaleza,8.378825999875483,Gen Z (20-29),Bajo Riesgo
126,36,Mujer,Construcción,3,Finanzas,Naturaleza,8.137341909523489,Millennials (30-39),Bajo Riesgo
127,36,Mujer,Finanzas,8,Familia,Socializar,5.631386739296181,Millennials (30-39),Alto Riesgo
128,47,Hombre,Educación,9,Salud,Naturaleza,3.968361951706604,Gen X (40-49),Alto Riesgo
129,63,Mujer,Educación,8,Finanzas,Naturaleza,6.38503691174561,Boomers (50+),Alto Riesgo
130,34,Mujer,Tecnología,6,Carga Laboral,Videojuegos,8.093804809797442,Millennials (30-39),Riesgo Moderado
131,53,Mujer,Educación,4,Salud,Naturaleza,8.471653002994051,Boomers (50+),Bajo Riesgo
132,60,Hombre,Educación,2,Carga Laboral,Deporte,3.3612148556248456,Boomers (50+),Bajo Riesgo
133,53,Mujer,Educación,6,Finanzas,Videojuegos,7.396267431552157,Boomers (50+),Riesgo Moderado
134,25,Mujer,Salud,6,Familia,Videojuegos,7.192921130926078,Gen Z (20-29),Riesgo Moderado
135,51,Mujer,Tecnología,7,Finanzas,Socializar,7.658013110434239,Boomers (50+),Riesgo Moderado
136,58,Hombre,Finanzas,2,Familia,Naturaleza,6.519621879358168,Boomers (50+),Bajo Riesgo
137,44,Mujer,Educación,5,Salud,Deporte,3.84518453163936,Gen X (40-49),Riesgo Moderado
138,60,Mujer,Retail,6,Finanzas,Deporte,5.81280419837269,Boomers (50+),Riesgo Moderado
139,36,Mujer,Salud,8,Finanzas,Naturaleza,5.120465683668953,Millennials (30-39),Alto Riesgo
140,64,Hombre,Educación,6,Finanzas,Naturaleza,4.949129679028824,Boomers (50+),Riesgo Moderado
141,50,Mujer,Salud,7,Salud,Socializar,7.675700152541385,Gen X (40-49),Riesgo Moderado
142,57,Mujer,Tecnología,5,Carga Laboral,Deporte,6.244067369687844,Boomers (50+),Riesgo Moderado
143,34,Hombre,Retail,6,Carga Laboral,Videojuegos,7.090586217993694,Millennials (30-39),Riesgo Moderado
144,53,Hombre,Retail,6,Familia,Socializar,8.084309529619754,Boomers (50+),Riesgo Moderado
145,28,Mujer,Retail,6,Finanzas,Socializar,3.912182534675844,Gen Z (20-29),Riesgo Moderado
146,43,Hombre,Educación,5,Carga Laboral,Videojuegos,8.905007982897189,Gen X (40-49),Riesgo Moderado
147,49,No Binario,Salud,5,Salud,Socializar,9.179807632368489,Gen X (40-49),Riesgo Moderado
148,23,Mujer,Retail,4,Finanzas,Naturaleza,3.836223375201623,Gen Z (20-29),Bajo Riesgo
149,63,Mujer,Construcción,3,Familia,Videojuegos,7.538980064933288,Boomers (50+),Bajo Riesgo
150,27,Hombre,Construcción,5,Carga Laboral,Videojuegos,9.484118573861116,Gen Z (20-29),Riesgo Moderado
151,49,Hombre,Salud,6,Salud,Deporte,4.405164743896503,Gen X (40-49),Riesgo Moderado
152,49,Mujer,Educación,4,Salud,Videojuegos,4.740956225169128,Gen X (40-49),Bajo Riesgo
153,41,Hombre,Educación,3,Familia,Socializar,7.7203606796862205,Gen X (40-49),Bajo Riesgo
154,51,Mujer,Tecnología,4,Carga Laboral,Deporte,7.18780858124225,Boomers (50+),Bajo Riesgo
155,32,Hombre,Tecnología,6,Finanzas,Socializar,6.82738968063698,Millennials (30-39),Riesgo Moderado
156,49,Hombre,Retail,2,Salud,Naturaleza,6.124592357190619,Gen X (40-49),Bajo Riesgo
157,46,Hombre,Finanzas,4,Familia,Naturaleza,6.732890020629123,Gen X (40-49),Bajo Riesgo
158,60,Mujer,Tecnología,5,Salud,Deporte,2.72667931160515,Boomers (50+),Riesgo Moderado
159,54,No Binario,Educación,7,Salud,Deporte,4.700439067816726,Boomers (50+),Riesgo Moderado
160,22,Hombre,Finanzas,9,Carga Laboral,Socializar,6.33195509007806,Gen Z (20-29),Alto Riesgo
161,48,Hombre,Tecnología,4,Carga Laboral,Naturaleza,3.334651031537595,Gen X (40-49),Bajo Riesgo
162,34,Hombre,Salud,5,Finanzas,Deporte,6.289402197429196,Millennials (30-39),Riesgo Moderado
163,62,Mujer,Construcción,5,Salud,Naturaleza,6.474256308941284,Boomers (50+),Riesgo Moderado
164,24,Hombre,Tecnología,6,Familia,Naturaleza,5.394094117295669,Gen Z (20-29),Riesgo Moderado
165,60,Mujer,Tecnología,5,Salud,Naturaleza,5.482086327169241,Boomers (50+),Riesgo Moderado
166,27,Mujer,Salud,7,Familia,Socializar,4.93145314499068,Gen Z (20-29),Riesgo Moderado
167,29,Mujer,Educación,4,Salud,Socializar,5.77369568714573,Gen Z (20-29),Bajo Riesgo
168,48,Hombre,Retail,3,Familia,Naturaleza,7.040079203239778,Gen X (40-49),Bajo Riesgo
169,30,No Binario,Salud,7,Salud,Naturaleza,7.143985126181395,Gen Z (20-29),Riesgo Moderado
170,58,Hombre,Retail,5,Salud,Naturaleza,8.036839955651326,Boomers (50+),Riesgo Moderado
171,54,Hombre,Tecnología,6,Finanzas,Videojuegos,6.2644644353002015,Boomers (50+),Riesgo Moderado
172,63,Mujer,Educación,5,Carga Laboral,Videojuegos,7.185724407292044,Boomers (50+),Riesgo Moderado
173,45,Mujer,Finanzas,3,Carga Laboral,Socializar,4.323066380297169,Gen X (40-49),Bajo Riesgo
174,36,Hombre,Tecnología,7,Familia,Naturaleza,6.811937398251394,Millennials (30-39),Riesgo Moderado
175,53,Hombre,Salud,6,Salud,Videojuegos,6.16591225275242,Boomers (50+),Riesgo Moderado
176,53,Mujer,Finanzas,4,Salud,Deporte,7.249092700425782,Boomers (50+),Bajo Riesgo
177,45,Hombre,Construcción,4,Carga Laboral,Deporte,6.0767113480347765,Gen X (40-49),Bajo Riesgo
178,62,Mujer,Finanzas,3,Familia,Naturaleza,5.935696888222555,Boomers (50+),Bajo Riesgo
179,33,Mujer,Salud,6,Finanzas,Videojuegos,5.265139942612695,Millennials (30-39),Riesgo Moderado
180,60,Hombre,Finanzas,5,Finanzas,Deporte,8.011335773778448,Boomers (50+),Riesgo Moderado
181,23,Hombre,Salud,10,Finanzas,Socializar,5.580185593471254,Gen Z (20-29),Alto Riesgo
182,24,Hombre,Tecnología,7,Salud,Deporte,9.296674402961708,Gen Z (20-29),Riesgo Moderado
183,58,Mujer,Educación,8,Familia,Socializar,4.532860898662912,Boomers (50+),Alto Riesgo
184,38,Mujer,Construcción,4,Carga Laboral,Deporte,8.256842082318975,Millennials (30-39),Bajo Riesgo
185,23,Hombre,Educación,5,Salud,Deporte,3.235450770107107,Gen Z (20-29),Riesgo Moderado
186,23,Mujer,Educación,7,Salud,Videojuegos,6.246101500717256,Gen Z (20-29),Riesgo Moderado
187,49,No Binario,Educación,6,Finanzas,Deporte,5.618082495791314,Gen X (40-49),Riesgo Moderado
188,44,Hombre,Salud,6,Familia,Deporte,7.159205639890482,Gen X (40-49),Riesgo Moderado
189,58,Mujer,Salud,4,Familia,Socializar,7.725157044437402,Boomers (50+),Bajo Riesgo
190,53,Hombre,Construcción,2,Finanzas,Socializar,9.401314827230772,Boomers (50+),Bajo Riesgo
191,54,Hombre,Salud,6,Finanzas,Deporte,5.701921840928439,Boomers (50+),Riesgo Moderado
192,22,Hombre,Retail,6,Finanzas,Naturaleza,5.39537616774356,Gen Z (20-29),Riesgo Moderado
193,40,Hombre,Salud,6,Salud,Deporte,7.823313932944002,Millennials (30-39),Riesgo Moderado
194,23,Hombre,Salud,5,Salud,Deporte,6.296110548846651,Gen Z (20-29),Riesgo Moderado
195,47,Hombre,Salud,5,Salud,Videojuegos,5.54721075116229,Gen X (40-49),Riesgo Moderado
196,53,Mujer,Tecnología,6,Carga Laboral,Deporte,5.831809697371757,Boomers (50+),Riesgo Moderado
197,27,Mujer,Construcción,7,Carga Laboral,Deporte,5.434157205793451,Gen Z (20-29),Riesgo Moderado
198,53,Mujer,Retail,5,Familia,Socializar,3.9962502602543735,Boomers (50+),Riesgo Moderado
199,25,Hombre,Salud,6,Finanzas,Socializar,8.844526839289191,Gen Z (20-29),Riesgo Moderado
200,32,Hombre,Construcción,3,Finanzas,Socializar,7.2325697170405885,Millennials (30-39),Bajo Riesgo
201,38,Hombre,Finanzas,6,Salud,Socializar,4.083982681680865,Millennials (30-39),Riesgo Moderado
202,59,Mujer,Tecnología,6,Carga Laboral,Deporte,8.74953166961955,Boomers (50+),Riesgo Moderado
203,45,Mujer,Salud,5,Finanzas,Naturaleza,6.765669980229921,Gen X (40-49),Riesgo Moderado
204,26,Hombre,Retail,7,Familia,Videojuegos,6.182459507209214,Gen Z (20-29),Riesgo Moderado
205,55,Hombre,Tecnología,5,Finanzas,Videojuegos,7.294525882739361,Boomers (50+),Riesgo Moderado
206,27,Mujer,Retail,5,Salud,Naturaleza,5.846921070020871,Gen Z (20-29),Riesgo Moderado
207,43,Hombre,Tecnología,6,Salud,Naturaleza,4.526641864587814,Gen X (40-49),Riesgo Moderado
208,32,Hombre,Finanzas,5,Carga Laboral,Videojuegos,5.691488396195308,Millennials (30-39),Riesgo Moderado
209,37,Mujer,Construcción,4,Familia,Deporte,6.390251421276704,Millennials (30-39),Bajo Riesgo
210,54,Mujer,Tecnología,3,Familia,Videojuegos,5.150247784649476,Boomers (50+),Bajo Riesgo
211,30,Hombre,Educación,3,Finanzas,Naturaleza,7.262954797032917,Gen Z (20-29),Bajo Riesgo
212,27,Hombre,Finanzas,7,Familia,Deporte,8.419286283254511,Gen Z (20-29),Riesgo Moderado
213,37,No Binario,Educación,6,Finanzas,Videojuegos,5.952044643643717,Millennials (30-39),Riesgo Moderado
214,50,Hombre,Finanzas,3,Finanzas,Deporte,3.066811424680023,Gen X (40-49),Bajo Riesgo
215,24,Hombre,Educación,4,Carga Laboral,Deporte,6.250775908474907,Gen Z (20-29),Bajo Riesgo
216,41,Hombre,Educación,8,Familia,Naturaleza,5.224749903547213,Gen X (40-49),Alto Riesgo
217,57,Hombre,Retail,6,Salud,Socializar,6.178630433661242,Boomers (50+),Riesgo Moderado
218,40,Hombre,Tecnología,7,Finanzas,Videojuegos,6.158970839751802,Millennials (30-39),Riesgo Moderado
219,47,Mujer,Tecnología,7,Finanzas,Naturaleza,5.208078366788971,Gen X (40-49),Riesgo Moderado
220,24,Hombre,Finanzas,4,Finanzas,Videojuegos,4.449191985776107,Gen Z (20-29),Bajo Riesgo
221,40,Hombre,Construcción,8,Familia,Socializar,6.518611761507559,Millennials (30-39),Alto Riesgo
222,41,Mujer,Retail,3,Familia,Socializar,5.348145795370246,Gen X (40-49),Bajo Riesgo
223,53,Mujer,Tecnología,6,Familia,Socializar,9.11565151436242,Boomers (50+),Riesgo Moderado
224,28,Mujer,Tecnología,6,Finanzas,Socializar,6.869535659189348,Gen Z (20-29),Riesgo Moderado
225,62,Mujer,Retail,6,Salud,Videojuegos,5.399550206941154,Boomers (50+),Riesgo Moderado
226,54,Hombre,Salud,6,Salud,Deporte,5.788918102948903,Boomers (50+),Riesgo Moderado
227,61,Mujer,Retail,6,Familia,Deporte,6.27277455920623,Boomers (50+),Riesgo Moderado
228,60,Hombre,Tecnología,7,Salud,Socializar,6.646943074526357,Boomers (50+),Riesgo Moderado
229,39,No Binario,Construcción,7,Finanzas,Socializar,7.424587135792483,Millennials (30-39),Riesgo Moderado
230,61,Mujer,Salud,6,Familia,Deporte,8.2174082997429,Boomers (50+),Riesgo Moderado
231,22,No Binario,Educación,4,Familia,Naturaleza,6.393457981011514,Gen Z (20-29),Bajo Riesgo
232,32,Mujer,Retail,5,Finanzas,Socializar,7.182835314283846,Millennials (30-39),Riesgo Moderado
233,49,Hombre,Educación,6,Familia,Deporte,7.139657077183863,Gen X (40-49),Riesgo Moderado
234,46,Mujer,Salud,7,Finanzas,Naturaleza,6.64815297774305,Gen X (40-49),Riesgo Moderado
235,44,No Binario,Salud,8,Familia,Deporte,6.188519057078013,Gen X (40-49),Alto Riesgo
236,52,Mujer,Salud,5,Salud,Naturaleza,6.712250205788412,Boomers (50+),Riesgo Moderado
237,51,Hombre,Finanzas,4,Familia,Videojuegos,5.520207285993305,Boomers (50+),Bajo Riesgo
238,63,Mujer,Retail,3,Familia,Naturaleza,4.798478587729047,Boomers (50+),Bajo Riesgo
239,56,Hombre,Construcción,5,Familia,Socializar,8.666068594278698,Boomers (50+),Riesgo Moderado
240,28,Hombre,Construcción,6,Carga Laboral,Naturaleza,6.8234358810812985,Gen Z (20-29),Riesgo Moderado
241,37,Hombre,Educación,6,Salud,Naturaleza,6.90983541283316,Millennials (30-39),Riesgo Moderado
242,47,Hombre,Educación,3,Finanzas,Socializar,6.175245284366358,Gen X (40-49),Bajo Riesgo
243,23,Mujer,Educación,4,Carga Laboral,Videojuegos,7.247296590791693,Gen Z (20-29),Bajo Riesgo
244,22,Hombre,Retail,5,Salud,Naturaleza,6.230187668496104,Gen Z (20-29),Riesgo Moderado
245,33,Mujer,Tecnología,8,Familia,Videojuegos,4.224265686949988,Millennials (30-39),Alto Riesgo
246,26,Hombre,Educación,5,Familia,Deporte,5.698104746735632,Gen Z (20-29),Riesgo Moderado
247,58,Hombre,Salud,4,Finanzas,Deporte,7.396406748432493,Boomers (50+),Bajo Riesgo
248,53,Hombre,Educación,6,Finanzas,Socializar,5.609613289446344,Boomers (50+),Riesgo Moderado
249,30,Hombre,Salud,6,Salud,Videojuegos,3.750920872814283,Gen Z (20-29),Riesgo Moderado
250,62,Hombre,Finanzas,3,Salud,Socializar,6.059941820915728,Boomers (50+),Bajo Riesgo
251,56,Hombre,Tecnología,4,Finanzas,Socializar,3.903980478500536,Boomers (50+),Bajo Riesgo
252,40,Mujer,Tecnología,4,Salud,Naturaleza,6.037409898298472,Millennials (30-39),Bajo Riesgo
253,37,Hombre,Retail,5,Finanzas,Deporte,8.278078766274398,Millennials (30-39),Riesgo Moderado
254,24,Hombre,Retail,7,Familia,Socializar,4.5924047196395525,Gen Z (20-29),Riesgo Moderado
255,41,Hombre,Construcción,6,Finanzas,Naturaleza,7.471965875353679,Gen X (40-49),Riesgo Moderado
256,45,Mujer,Finanzas,5,Carga Laboral,Naturaleza,9.07224525338865,Gen X (40-49),Riesgo Moderado
